[2025-01-03T00:16:09.004002-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T03:00:57.494019-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T07:43:05.043001-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T07:43:07.508570-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T07:44:15.661014-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T08:11:01.238976-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T08:27:23.876453-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T08:27:29.917292-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T08:28:17.013994-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T08:29:44.551777-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T08:30:01.040214-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T08:33:40.212976-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T08:34:44.663623-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T08:37:17.469822-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-01-03T08:37:17.594724-06:00] amores.ERROR: mensaje: Argument 1 passed to UsuariosModel::selectUsuario() must be of the type int, null given, called in /home/histocli/amoresdedonjuan.org/Helpers/Helpers.php on line 807, archivo: /home/histocli/amoresdedonjuan.org/Models/UsuariosModel.php, linea: 158, codigo: 0 [] []
