[2025-12-31T07:00:09.025351-06:00] amores.ERROR: mensaje: UsuariosModel::selectUsuario(): Argument #1 ($usuario_id) must be of type int, null given, called in C:\xampp\htdocs\amores\Helpers\Helpers.php on line 807, archivo: C:\xampp\htdocs\amores\Models\UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-12-31T07:00:09.954411-06:00] amores.ERROR: mensaje: UsuariosModel::selectUsuario(): Argument #1 ($usuario_id) must be of type int, null given, called in C:\xampp\htdocs\amores\Helpers\Helpers.php on line 807, archivo: C:\xampp\htdocs\amores\Models\UsuariosModel.php, linea: 158, codigo: 0 [] []
[2025-12-31T07:00:59.500095-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:01:00.077548-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:05:14.482732-06:00] amores.ERROR: mensaje: Recibos::getReciboData(): Argument #1 ($recibo_id) must be of type int, string given, called in C:\xampp\htdocs\amores\Controllers\Recibos.php on line 1543, archivo: C:\xampp\htdocs\amores\Controllers\Recibos.php, linea: 459, codigo: 0 [] []
[2025-12-31T07:05:32.459977-06:00] amores.ERROR: mensaje: Recibos::getReciboData(): Argument #1 ($recibo_id) must be of type int, string given, called in C:\xampp\htdocs\amores\Controllers\Recibos.php on line 1543, archivo: C:\xampp\htdocs\amores\Controllers\Recibos.php, linea: 459, codigo: 0 [] []
[2025-12-31T07:09:57.488090-06:00] amores.ERROR: mensaje: RecibosModel::selectRecibo(): Argument #1 ($recibo_id) must be of type int, string given, called in C:\xampp\htdocs\amores\Controllers\Recibos.php on line 1543, archivo: C:\xampp\htdocs\amores\Models\RecibosModel.php, linea: 501, codigo: 0 [] []
[2025-12-31T07:12:17.091633-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:14:50.066004-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:17:42.988254-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:17:58.206220-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:18:17.249702-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:26:54.497050-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:32:06.333263-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:33:09.451068-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:34:49.374534-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:37:54.952875-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:39:20.431000-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:39:32.001148-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:39:45.836258-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:40:25.923717-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:41:00.443909-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:41:00.887792-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:41:00.896819-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
[2025-12-31T07:45:39.267522-06:00] amores.ERROR: mensaje: Failed opening required 'Template/Modals/modalAlertas.php' (include_path='C:\xampp\php\PEAR'), archivo: C:\xampp\htdocs\amores\Views\Errors\error.php, linea: 82, codigo: 0 [] []
